Gene	kon	koff	OR	Zero_Zero	FullCorr	FullCorr_Ubiq	Ubiq
1110038B12Rik	1.9777495	217.2395913	0			0	1
2410006H16Rik	1.37772497	3.52667946	0			0	1
9630033F20Rik	0.77216678	1.55122295	0			0	1
Abcf1	3.08369502	23.85975881	0			0	1
Abcf2	1.12761582	1.63660135	0			0	1
Acin1	2.3625025	46.13488128	0			0	1
Actn1	2.01730542	6.30716529	0			0	1
Actn4	2.51654916	215.1409466	0			0	1
Adipor2	2.09776073	40.76526361	0			0	1
Aes	1.52553997	215.8165759	0			0	1
Ahnak	1.83550084	182.7626981	0			0	1
Aimp1	1.24515026	4.01898353	0			0	1
Ak2	2.16761975	1.77443692	0			0	1
Akap8	1.31178054	2.45535034	0			0	1
Ankrd11	0.98721442	1.54836816	0			0	1
Ankrd17	1.39957877	4.40014061	0			0	1
Aprt	1.98548325	495.6157184	0			0	1
Atox1	2.76842482	246.300613	0			0	1
Atp5c1	3.51362192	50.85019151	0			0	1
Bclaf1	1.67036038	8.79466476	0			0	1
Brd2	1.76071805	211.9412238	0			0	1
Brd3	3.21341498	32.39331657	0			0	1
Cacybp	1.4637887	3.23257417	0			0	1
Capns1	4.15240149	290.2570926	0			0	1
Ccar1	0.70982174	0.58427354	0			0	1
Ccdc55	0.94957096	2.40295508	0			0	1
Ccnd3	3.27368391	239.5052556	0			0	1
Cct6a	2.27346425	20.46307547	0			0	1
Cd164	3.78752807	538.787911	0			0	1
Cdc42	2.62815365	142.1208764	0			0	1
Cdkn1a	2.13E+00	3.25E+02	0			0	1
Cebpz	2.18067262	78.15256243	0			0	1
Ckb	1.99487296	172.2309599	0			0	1
Clpp	3.05186092	96.87594877	0			0	1
Cnn3	3.1024166	352.3931661	0			0	1
Cops7a	1.04274944	2.24043288	0			0	1
Cox6a1	3.29323149	4.76708594	0			0	1
Cox7a2l	1.71899325	2.74056084	0			0	1
Cstb	1.99794509	232.0815361	0			0	1
Ctdsp2	3.17281015	376.2905487	0			0	1
Ctnna1	2.22077422	7.51669468	0			0	1
Ctsd	3.3514668	530.0827471	0			0	1
Cwc15	3.11845999	239.718123	0			0	1
D19Bwg1357e	1.71911063	3.99408454	0			0	1
Ddx27	3.83692976	723.6881318	0			0	1
Ddx47	2.23006107	19.99883073	0			0	1
Dhx16	1.87274477	32.17671061	0			0	1
Dhx30	1.50993052	3.92370228	0			0	1
Dnajc8	1.94749497	3.96282352	0			0	1
Dnmt1	1.06009268	18.32690622	0			0	1
Drg1	1.93525908	9.23172089	0			0	1
Dst	1.8289968	3.09602605	0			0	1
Dstn	1.63523122	2.44323586	0			0	1
Ebna1bp2	1.8426946	3.8541191	0			0	1
Eef1d	1.7771905	4.36069566	0			0	1
Eif2b5	1.79832978	5.02280127	0			0	1
Eif3a	1.86795209	2.06539674	0			0	1
Eif3b	2.08151347	2.39494096	0			0	1
Eif3h	1.85790397	245.3932893	0			0	1
Eif3k	1.96595405	1.9507626	0			0	1
Eif3l	1.9070781	2.09228091	0			0	1
Eif4b	2.37888168	5.19692264	0			0	1
Eif4g1	1.06469997	0.93620931	0			0	1
Eif6	1.66458196	3.37497385	0			0	1
Emg1	1.01332112	1.3524159	0			0	1
Eprs	2.19092389	3.90349288	0			0	1
Ergic3	1.34466912	1.9319166	0			0	1
Ewsr1	1.88167032	2.00137155	0			0	1
Fcf1	2.01365877	7.45573948	0			0	1
Fkbp3	2.84640472	6.03433337	0			0	1
Fkbp4	2.24785439	190.8523429	0			0	1
Flnb	1.69E+00	5.87E+02	0			0	1
Ftsj3	2.21555766	559.0505565	0			0	1
Fubp1	1.90994772	22.49254589	0			0	1
Gadd45gip1	2.36240592	154.8756413	0			0	1
Gars	2.21955137	184.0923718	0			0	1
Gart	1.30486077	1.45243219	0			0	1
Gas5	1.01004603	1.17309353	0			0	1
Gdi2	3.08727923	33.26206014	0			0	1
Gfm1	1.34629385	2.59035121	0			0	1
Glrx3	2.18235582	6.93443047	0			0	1
Gltscr2	4.13349895	61.55573004	0			0	1
Glud1	2.97260585	190.0909883	0			0	1
Gpi1	3.25878333	179.9699019	0			0	1
Hat1	3.28606368	7.11979789	0			0	1
Hdgf	2.81659871	2.80469905	0			0	1
Hmgn1	1.40564746	2.84085781	0			0	1
Hnrnpa2b1	2.13668414	3.25393442	0			0	1
Hsbp1	2.44174946	5.17034995	0			0	1
Hsp90aa1	2.29824515	3.72734764	0			0	1
Hspa14	1.79079161	2.15793924	0			0	1
Hspa4	2.17967901	15.09410664	0			0	1
Hspa9	3.33013882	7.38835334	0			0	1
Ik	0.9970641	1.45753741	0			0	1
Impa2	3.11752349	45.16657938	0			0	1
Iqgap1	2.70E+00	9.92E+02	0			0	1
Kars	2.32145687	6.67928842	0			0	1
Kif5b	1.55751747	2.89517584	0			0	1
Lamp1	4.20437698	210.3435723	0			0	1
Lig1	2.00028135	4.56329912	0			0	1
Lonp1	1.87464824	3.04766028	0			0	1
Lsm4	3.08629284	65.68786715	0			0	1
Mak16	1.52226126	1.84920862	0			0	1
Mcm3	3.28486181	71.62383502	0			0	1
Mfge8	1.64723139	11.36223115	0			0	1
Mlec	1.90345392	4.19927417	0			0	1
Mphosph8	0.98835221	1.53530967	0			0	1
Mrpl17	2.09436297	3.21706257	0			0	1
Mrps16	1.29015606	2.37373676	0			0	1
Mrps24	2.42930429	64.7390689	0			0	1
Myo10	3.00656925	219.3475666	0			0	1
Naa15	1.72062984	542.3787215	0			0	1
Nasp	2.41325336	7.1627005	0			0	1
Ndufa3	3.43126075	68.31650935	0			0	1
Ndufa4	3.4972535	212.2890754	0			0	1
Ndufa5	1.9899113	4.98298302	0			0	1
Ndufb10	2.41551304	10.08786444	0			0	1
Ndufb3	3.10740239	8.30427915	0			0	1
Ndufv2	3.15055407	33.655113	0			0	1
Nol7	0.96695018	1.53686284	0			0	1
Nolc1	1.26329974	1.26809199	0			0	1
Npc2	1.85833427	4.0830601	0			0	1
Nudc	1.87363145	9.1766056	0			0	1
Nudcd2	2.29061483	951.705771	0			0	1
Nudt4	0.88459962	2.59994231	0			0	1
Ostf1	2.39628996	337.7613104	0			0	1
Pa2g4	1.14077829	2.24104211	0			0	1
Papola	1.54549602	5.70633798	0			0	1
Pdia3	4.0094379	69.74781381	0			0	1
Pes1	2.64053176	457.2909714	0			0	1
Pfdn1	3.19948668	593.4531783	0			0	1
Pfdn2	1.75259078	2.20515532	0			0	1
Pgd	3.63269467	268.0236193	0			0	1
Phb2	2.33046231	132.6624449	0			0	1
Pmm1	2.49919533	7.5755084	0			0	1
Pnn	1.54833971	2.0308706	0			0	1
Ppan	1.33229889	2.1692147	0			0	1
Ppp6r3	3.37946066	18.29694653	0			0	1
Prep	1.93186832	14.60215599	0			0	1
Prrc2c	0.99467812	4.17364658	0			0	1
Psma6	1.400884	0.86694232	0			0	1
Psma7	1.54123811	2.08280336	0			0	1
Psmc1	2.82764689	8.67836809	0			0	1
Psmc5	4.06575347	15.48149388	0			0	1
Psmd1	2.93927024	68.81137674	0			0	1
Psmd14	2.84815837	283.6279387	0			0	1
Rab8a	1.15804147	1.5741488	0			0	1
Rabggtb	1.91610435	667.1324207	0			0	1
Rad21	3.23634073	573.0860008	0			0	1
Rdx	1.52218114	0.99454678	0			0	1
Rif1	1.04096755	1.21870782	0			0	1
Rnaseh2a	0.99076889	1.10434571	0			0	1
Rpa2	1.61330924	2.22668366	0			0	1
Rpl27a	3.56175783	809.6764419	0			0	1
Rpl7l1	1.62985474	3.90383258	0			0	1
Rpn2	1.83929601	2.89511915	0			0	1
Rps21	3.27120351	52.99135505	0			0	1
Rps27l	3.31041591	48.93902481	0			0	1
Rsl1d1	2.50560717	7.98245498	0			0	1
Ruvbl2	2.54249247	10.17609471	0			0	1
Shfm1	1.76133567	4.90059936	0			0	1
Shmt2	1.34693355	2.1608841	0			0	1
Skiv2l2	1.78469883	3.07356662	0			0	1
Skp1a	1.95816104	4.18995324	0			0	1
Slc25a13	3.19308613	7.46184055	0			0	1
Smarca4	1.67998594	2.56458585	0			0	1
Smarcc1	2.55983823	18.12023595	0			0	1
Snrnp70	1.50809687	4.07839591	0			0	1
Snrpa1	2.35250711	9.0981542	0			0	1
Snrpe	1.56962946	2.59328916	0			0	1
Sod1	2.76794747	2.34849404	0			0	1
Spc24	2.0805468	6.57531943	0			0	1
Srp72	1.51361322	1.78492921	0			0	1
Srrm1	1.18112451	1.88938618	0			0	1
Srsf11	1.13214591	1.8121844	0			0	1
Srsf5	1.38705838	1.00610422	0			0	1
Ssr2	6.47613933	76.93477816	0			0	1
Tbca	2.25070238	2.76912584	0			0	1
Tecr	1.71207511	4.97723205	0			0	1
Timm13	1.26410303	1.61636186	0			0	1
Tpd52	1.4190484	7.83616993	0			0	1
Trmt1	1.12438993	0.9198117	0			0	1
Txnrd1	1.38641938	12.95740332	0			0	1
Uba2	3.54955046	14.99258913	0			0	1
Ubqln4	1.99572794	3.46264443	0			0	1
Usp7	1.75828563	2.06963263	0			0	1
Wapal	1.67313886	24.14562482	0			0	1
Xab2	1.71782835	536.9367612	0			0	1
Xpnpep1	1.22681644	5.52615128	0			0	1
Ywhab	1.9506684	4.60404085	0			0	1
Zfp106	1.35340377	2.77300779	0			0	1
Zfp706	1.74239698	2.34961668	0			0	1
9930012K11Rik	0.01437184	0.15205596	0			0	0
Aldh1a3	0.05322687	5.36832149	0			0	0
Arhgap18	0.00355545	0.15756184	0			0	0
Atp5l	0.03190067	0.11807593	0			0	0
Bbs10	0.02072947	0.44821221	0			0	0
Bcl7a	0.26061992	2.72387494	0			0	0
Btbd11	0.00398948	0.15754944	0			0	0
Clcn4-2	0.02700857	0.45270264	0			0	0
Dkk3	0.00525593	0.10924032	0			0	0
Dusp2	0.00294082	0.08929851	0			0	0
Dusp28	0.04497616	2.16755182	0			0	0
Fam111a	0.0455082	2.16904293	0			0	0
Fbxl6	0.04551313	0.13836411	0			0	0
Hdac7	0.02049002	0.44801267	0			0	0
Ldb3	0.01979665	0.82823439	0			0	0
Mul1	0.01429815	0.07787203	0			0	0
Nefm	3.55E-02	2.34E+00	0			0	0
Nhlrc3	0.01958079	0.82838972	0			0	0
Nkapl	0.01919729	1.34774905	0			0	0
Parm1	0.02049033	0.44801883	0			0	0
Parva	0.00355402	0.15748525	0			0	0
Pdlim2	2.94E-02	1.01E+01	0			0	0
Pin1	0.09229205	0.06319088	0			0	0
Pnkd	0.04684333	0.18125665	0			0	0
Ppapdc2	0.00519679	0.18905501	0			0	0
Prex1	0.00991728	0.05574183	0			0	0
Rasa3	0.07020953	0.94401207	0			0	0
Rps15a	0.32998978	0.41311798	0			0	0
Rps7	0.04796422	0.1852744	0			0	0
Sepn1	0.0041943	0.15754111	0			0	0
Serf1	0.02705369	0.38066403	0			0	0
Sh3bp5	0.02132233	1.15670574	0			0	0
Slc16a9	0.00921486	0.10713982	0			0	0
Smpd1	0.05696083	0.9891051	0			0	0
Spef1	0.00959796	0.433828	0			0	0
Stmn1	0.01981801	0.33225935	0			0	0
Tatdn3	0.06244486	18.12088986	0			0	0
Tshz3	0.01295035	0.41310349	0			0	0
Txlnb	0.05913878	0.991949	0			0	0
Txn1	0.10156568	0.20030627	0			0	0
Ubl5	0.05146503	0.32795762	0			0	0
Zfp458	0.00609706	0.41561164	0			0	0
Zik1	0.02072855	0.44817457	0			0	0
Zmat2	0.07055038	0.23353883	0			0	0
Akap12	3.23427502	3.86509261	NA	1	1	1	
Malat1	3.61594775	18.44477395	NA	1	1	1	
Npm1	3.09282945	4.36941445	NA	1	1	1	
Nsd1	3.08933005	26.92802979	NA	1	1	1	
Psmb4	2.98782982	11.19446331	NA	1	1	1	
Psmb6	4.39609662	22.04084284	NA	1	1	1	
Rpl4	6.75301646	315.3434227	NA	1	1	1	
Rpl8	2.31845643	2.14122627	NA	1	1	1	
Uqcr10	3.38294322	8.64243523	NA	1	1	1	
Ywhae	7.0699884	515.3337984	NA	1	1	1	
Sdha	3.4664651	14.78508648	NA	0	1	0	
Tomm6	3.48984572	39.28080258	NA	0	1	0	
Atp5b	4.25088989	11.58987141	NA		1	0	
C1qbp	3.18120685	19.65152177	NA		1	0	
Cox5a	4.24268818	23.36021169	NA		1	0	
Hspa8	2.99383478	7.08227652	NA		1	0	
Ndufc1	4.35305841	464.4907839	NA		1	0	
Nhp2	2.67059825	155.0258724	NA		1	0	
Nme2	2.36404926	3.84730555	NA		1	0	
Ppp1ca	4.40290793	6.5328015	NA		1	0	
Psmb1	5.50139842	172.6876979	NA		1	0	
Dlk1	0.00719026	0.1267531	NA	NA	0	0	
Dynll1	3.97009734	2.13498206	NA	NA	0	0	
Fbln5	0.00508146	0.18903365	NA	NA	0	0	
Gcnt4	0.06524236	0.36265087	NA	NA	0	0	
Gpr153	0.02072908	0.4482025	NA	NA	0	0	
Gsn	3.79E-03	2.18E-01	NA	NA	0	0	
Hcn2	0.02112281	1.35130567	NA	NA	0	0	
Ier5	0.00355504	0.08512721	NA	NA	0	0	
Jph2	0.00355561	0.15757043	NA	NA	0	0	
Lrp3	5.29E-03	4.30E-01	NA	NA	0	0	
Mrgpre	0.00609667	0.41557444	NA	NA	0	0	
Rgs16	0.03913545	5.51585342	NA	NA	0	0	
Samd14	0.00576312	0.45088906	NA	NA	0	0	
Tgfb1	0.00294974	0.08496627	NA	NA	0	0	
Adh5	5.59403204	466.0878901	NA	1	0	0	
Aldoa	2.37488294	3.26337455	NA	1	0	0	
Asns	3.14945138	36.40404614	NA	1	0	0	
Atp5e	1.74439003	1.82069964	NA	1	0	0	
Atp5o	3.36127005	278.4387963	NA	1	0	0	
