Gene	kon	koff	OR	Zero_Zero	FullCorr	FullCorr_Ubiq	Ubiq
Arhgap22	0.08114505	9.56907939	NA	0	0	0	
Atp6v0e	3.2565932	351.111551	NA	1	0	0	
Atpif1	2.26073463	12.41099367	NA	1	0	0	
Bsg	2.74690989	38.31497689	NA	1	0	0	
Cald1	2.16711496	33.00489607	NA	1	0	0	
Ccdc40	0.04955378	1.82058041	NA	0	0	0	
Cd81	3.13600128	732.008506	NA	1	0	0	
Chd7	0.05132444	0.71739164	NA	0	0	0	
Col1a1	1.63130111	16.29760965	NA	0	0	0	
Cox6a1	4.12014955	132.9126886	NA	1	1	1	
Cox8a	3.52493768	133.5469971	NA	1	1	1	
Cst3	2.99144779	193.4265878	NA	1	0	0	
Cstb	4.51330557	47.15703787	NA	1	0	0	
Ctsb	1.74227699	10.84401772	NA	1	0	0	
Dad1	3.1273995	425.430968	NA	1	1	1	
Dlgap1	0.00821704	0.43928614	NA	0	0	0	
Dsp	0.01831174	1.55363871	NA	0	0	0	
Dusp28	0.11428088	0.65036182	NA	0	0	0	
Emp3	1.98628286	499.666975	NA	0	0	0	
Esd	2.39246632	4.94930028	NA	1	1	1	
F2rl1	0.004281116	0.632656962	NA	0	0	0	
Fstl1	1.97973428	15.34939166	NA	1	0	0	
G0s2	0.005223465	0.525818657	NA	NA	0	0	
Gnas	2.36410565	416.56388	NA	1	0	0	
H3f3b	1.74909203	5.7305335	NA	0	0	0	
Ifitm3	2.7172664	18.49698693	NA	1	0	0	
Itgb7	0.02373218	0.38202687	NA	0	0	0	
Katnal2	0.03778866	0.85816371	NA	0	0	0	
Kif24	0.01942495	2.08865364	NA	0	0	0	
Lhx6	0.03064506	0.70474851	NA	0	0	0	
Lrp2	0.02685336	0.9850212	NA	0	0	0	
Myo7a	0.12130782	1.54603761	NA	0	0	0	
Ndufa12	3.08378234	93.20527155	NA	1	0	0	
Ndufa13	2.51451898	27.93735248	NA	1	0	0	
Ndufb8	3.25065864	128.7742804	NA	1	0	0	
Nedd4	2.44720354	67.72885831	NA	1	0	0	
Nfam1	0.00821593	0.43922202	NA	0	0	0	
Nme2	2.41029244	233.1071078	NA	1	0	0	
Perp	0.0249258	0.90688693	NA	0	0	0	
Psmb1	2.60770851	8.40361039	NA	1	0	0	
Rps11	2.59645002	58.27573261	NA	1	0	0	
Rps2	2.3680348	395.8715729	NA	0	0	0	
Rps27l	4.23391506	354.9243386	NA	1	1	1	
S100a6	2.21503077	14.02761291	NA	1	0	0	
Sepw1	2.80704856	88.37102359	NA	1	0	0	
Slc16a9	0.01842117	0.94277711	NA	0	0	0	
Sparc	2.40254828	20.65753313	NA	1	0	0	
Spcs1	3.1679749	483.157737	NA	1	0	0	
Tmem25	0.02241485	0.97136532	NA	0	0	0	
Tpm1	1.5637185	27.71672873	NA	1	0	0	
Usmg5	4.68692084	79.4951878	NA	1	1	1	
Vim	2.19975019	30.17646318	NA	1	0	0	
Ywhae	2.43865676	24.89364407	NA	1	1	1	
Zfhx2	0.01597766	1.32483596	NA	0	0	0	
Ppargc1b	0.02261384	0.97096753	657				
Slc29a4	0.02241303	0.97127682	657				
Carf	0.03662012	0.4758413	565.3333333				
Fermt3	0.016404247	13.1604312	540				
Cxadr	0.03241922	0.44020446	416				
