Function	Gene Name	kon_ESC	koff_ESC	OR_ESC	kon_MAF	koff_MAF	OR_MAF				
Alveolar	Vdr	0.02049426	0.44810922	NA	0.29150803	3.45779241	5.387387387				
Alveolar	Foxp1	0.56960132	11.05785755	3.126315789	0.9184981	129.4728043	3.895833333				
Alveolar	Srebf2	0.3645306	0.68434667	2.256	0.16822582	1.10681939	3.148148148				
Alveolar	Zfp664	0.94687186	103.5385355	0.974358974	0.552066	84.19370992	2.440677966				
Alveolar	Xbp1	1.07606676	13.83495377	1.069264069	1.4227651	14.03768658	2.37037037				
ESC	Eno1	0.92254149	1.09071762	NA	0.50588736	1.37944096	14.13793103				
ESC	Trip13	0.5968457	2.86059689	1.736842105	0.14862917	3.46571851	6.013824885				
ESC	Csrp2	0.60541105	0.27456542	NA	0.09504753	0.22329357	4.972972973				
ESC	Tcf19	0.37074436	1.40259459	2.229102167	0.23477777	2.66764727	4.803439803				
ESC	Phc1	1.86602185	13.17014822	1.688311688	0.25365615	47.95716805	4.558441558				
ESC	Mtf2	1.31990989	1.30503126	3.32	0.44690905	43.49939718	3.885135135				
ESC	Trip6	0.62401841	28.76437698	2.329411765	1.18245614	99.07082209	3.515				
ESC	Tead2	0.71494471	26.25809526	2.643356643	0.4992636	130.950383	3.010457516				
ESC	Btf3	0.26957474	0.36528653	1.674641148	0.15282564	0.31165715	2.89021164				
ESC	Yy1	0.33535407	0.55696467	1.173913043	0.55711549	2.40687859	1.753283302				
ESC	Tgif1	1.62561248	161.8976369	1.355555556	0.79804777	112.6794611	1.422136422				
ETC	Cox6a1	3.29323149	4.76708594	0	4.12014955	132.9126886	NA				
ETC	Ndufa12	3.95606877	8.53794307	NA	3.08378234	93.20527155	NA				
ETC	Ndufb8	3.18244428	8.6219739	NA	3.25065864	128.7742804	NA				
ETC	Uqcr10	3.38294322	8.64243523	NA	3.54164127	303.0942621	35.83333333				
ETC	Park7	3.12119756	147.3996134	NA	0.69094267	3.20972848	23.70535714				
ETC	Etfb	2.1619195	14.48034886	1.233333333	1.03572076	12.65838843	17.55384615				
ETC	Cdk1	0.51283447	0.71286035	9.333333333	0.246007412	15.832103	14.25925926				
ETC	Ndufs6	1.85984083	2.76946432	NA	1.56630182	8.61334107	6.253968254				
ETC	Sdhb	2.98980633	107.2777853	11.2	1.97323981	19.00647762	5.694444444				
ETC	Ndufa10	4.40466579	105.2461185	NA	1.35714476	13.64986722	5.2				
ETC	Mybbp1a	1.35527898	4.50588983	2.851851852	0.6110056	8.76676897	4.994949495				
ETC	Ndufs2	0.48790786	0.68604011	1.725490196	0.35926177	1.99230338	4.639934534				
ETC	Ndufs1	0.64895288	2.01969464	0.332307692	0.953778605	325.334613	4.483743842				
ETC	Por	0.78068843	3.36783913	0.435483871	0.99325045	195.9059848	4.120048019				
