Function	Function2	Gene Name	kon_ESC_C57	koff_ESC_C57	freq_ESC_C57	Mean Expression_ESC_C57	Entropy_ESC_C57	kon_ESC_CAST	koff_ESC_CAST	freq_ESC_CAST	Mean Expression_ESC_CAST	Entropy_ESC_CAST	kon_MAF_C57	koff_MAF_C57	freq_MAF_C57	Mean Expression_MAF_C57	Entropy_MAF_C57	kon_MAF_CAST	koff_MAF_CAST	freq_MAF_CAST	Mean Expression_MAF_CAST	Entropy_MAF_CAST
Stromal	Stromal	Atf4	1.13978889	6.41087034	1.13978889	7.8	0.495224246	1.07718745	8.41406767	1.02332808	8.35	0.507292382	0.88912132	72.16339421	0.88912132	5.4	0.58329449	0.62895837	1.54480711	0.62895837	4.68	0.566291648
Stromal	Stromal	Jun	0.05034653	0.81795447	6.93889E-18	0.17	0.939716312	0.097520737	40.1111563	0.09752074	0.47	0.924611973	0.38187848	9.39527722	0.38187848	5.6	0.736170716	0.46290929	8.38528484	0.43976382	5.76	0.702348793
Stromal	Stromal	Klf3	1.71209918	249.8593269	1.71209918	2.52	0.529174022	0.11393772	0.08938421	0.00569689	1.33	0.62976965	0.77614296	221.7375045	0.77614296	1.39	0.698757764	0.46710211	5.17971121	0.46710211	1.25	0.742236804
Stromal	Stromal	Myc	0.18311521	2.31171377	0.18311521	0.47	0.877228292	0.13106079	0.34104358	8.32667268	0.79	0.804392588	0.36036925	4.6021491	0.36036925	2.57	0.743989033	0.48892816	4.06254021	0.48892816	2.81	0.696677928
Stromal	Stromal	Nfe2l2	1.67732429	210.5041796	1.67732429	2.02	0.557049334	2.43813577	13.40441996	2.43813577	2.41	0.483625846	1.11635006	170.6588768	1.11635006	2.68	0.575739971	0.870558	3.39423866	0.870558	3.34	0.549364698
Stromal	Stromal	Nfib	0.41938922	2.72101296	0.41938922	1.48	0.785744681	0.36548882	4.40159841	0.36548882	1.34	0.813537526	0.19161869	64.21640339	0.19161869	0.34	0.885738417	0.11674521	79.27715689	0.11674521	0.14	0.940236175
Stromal	Stromal	Pbx1	0.04507276	1.43183555	3.46945E-17	0.12	0.956479691	NA	NA	NA	NA	NA	0.71165994	77.66504913	0.74724294	1.34	0.707029221	0.50781376	6.03411054	0.50781376	0.93	0.751738722
Stromal	Stromal	Pck2	0.29606749	1.55380949	0.29606749	2.17	0.730307832	0.47965159	2.16870656	0.47965159	3.81	0.631850419	0.38893072	1.91306232	0.38893072	3.68	0.670267395	0.3560224	1.6034134	0.3560224	3.66	0.679837768
Stromal	Stromal	Srf	0.18627599	0.76916012	0.0093138	0.28	0.894176932	0.22292843	88.56447536	0.22292843	0.34	0.911655874	0.5397161	17.87328612	0.5397161	1.83	0.799212598	0.17235263	1.04711032	0.17235263	1.13	0.870820064
Stromal	Stromal	Tcf4	0.56916211	1.13233285	0.56916211	2	0.614623048	0.90816232	80.60238759	0.90816232	2.45	0.629058036	1.05350845	105.9359063	1.05350845	1.51	0.664729147	1.01145693	126.2039493	1.01145693	1.09	0.69611998
Stromal	Stromal	Tead2	0.72397773	66.73330698	0.76017661	1.2	0.696808511	NA	NA	NA	NA	NA	0.49742292	105.4573941	0.49742292	1.05	0.763849668	0.50566248	11.85669688	0.50566248	0.8	0.769708188
Myeloblast	Myeloblast	Atf2	0.33290569	18.51310012	0.34955098	0.88	0.820946958	0.54490685	90.76730127	0.54490685	0.9	0.777178665	0.35198937	97.4978124	0.35198937	0.36	0.878613946	0.43289439	112.2527506	0.43289439	0.6	0.839800824
Myeloblast	Myeloblast	Ets2	0.10493865	0.30597588	0.10493865	0.91	0.794640452	0.30078883	9.29123034	0.30078883	0.6	0.829378069	0.11298925	0.24664341	0.00564946	0.33	0.842568277	0.268828928	210.57005	0.28227037	0.55	0.849206349
Myeloblast	Myeloblast	Etv6	0.71308174	4.08215051	0.71308174	0.78	0.713069909	0.50238456	2.36017034	0.50238456	0.73	0.739200516	0.58664024	89.37049243	0.58664024	0.84	0.752006421	0.37055422	2.77043785	0.37055422	0.72	0.776205937
Myeloblast	Myeloblast	Gata2	0.04100526	1.66216282	0.04100526	0.37	0.956346295	0.04386495	1.13237226	0.04386495	0.57	0.942940039	0.18359171	4.30473759	0.18359171	0.71	0.893344156	0.07647359	1.15953186	0.07647359	0.45	0.933294513
Myeloblast	Myeloblast	Gtf3c2	0.8752165	2.07365828	0.8752165	1.71	0.599100386	1.34152821	35.18933656	1.34152821	2.32	0.581841163	0.42008565	91.05951306	0.42008565	0.8	0.80489106	0.75569429	157.6278929	0.75569429	0.82	0.745971254
Myeloblast	Myeloblast	Kdm4a	0.2817513	0.21693573	0.01408757	1.49	0.589643304	0.58561317	1.59602411	0.58561317	1.82	0.619584722	0.541829967	198.939904	0.56892147	1.91	0.698637218	0.53516096	42.12102711	0.53516096	2.02	0.700321598
Myeloblast	Myeloblast	Trps1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47790327	9.11082053	0.47790327	0.57	0.804559102	NA	NA	NA	NA	NA
Myeloblast	Myeloblast	Zfp664	0.95117962	171.7510851	0.95117962	1.45	0.640425532	0.66138417	2.32911046	0.66138417	2.27	0.597206817	0.534150177	287.693175	0.56085769	1.15	0.728108864	0.70585361	46.99014417	0.70585361	1.84	0.656117397
